qid,docno,score
1,hp5x637c,9.5
1,utg8k7qs,8.5
1,3t8g1xeg,8.5
1,pw4yh922,8.5
1,zf1g6x34,8.5
1,2jq626ye,8.5
1,d22fs0fx,8.5
1,8y24j34j,7.5
1,ujgcsx3o,7.5
1,l1lq8yga,3.5
1,3zevsk0w,3.5
1,t0tewgvx,3.5
1,m59czkya,3.5
1,uodw4iba,3.5
1,p6a3j6mr,2.5
1,pjdogrs4,2.5
1,tg6s41y3,2.5
1,803pdzy7,2.5
1,9e9523i8,2.5
1,645zegcv,2.5
1,0aiaklrn,2.5
1,zm38v6do,2.5
1,gnz96tzj,2.0
1,27fd59qe,2.0
1,ow5wt781,2.0
1,417onceq,1.2
1,u5npu6ng,1.0
1,fbe47bgi,1.0
1,vpm9drvz,0.3
1,t14wnsi1,0.2
1,0pi042qi,0.2
1,7mfc4mee,0.2
1,30s14h9j,0.2
1,f2vds1n7,0.2
1,782iew86,0.2
1,8c8skz2r,0.2
1,2hbxvvpw,0.2
1,jy7j8sh0,0.2
1,41ui4lqc,0.2
1,3z20ctdf,0.2
1,nmt221tu,0.2
1,nmchd4ib,0.2
1,1xgjdhkx,0.2
1,6nas74q1,0.2
1,23xo4frr,0.2
1,o4k7auph,0.2
1,1v353uij,0.2
1,iy6qzq58,0.2
1,vn3gkugz,0.2
1,pebc17zw,0.2
1,3o0hv92q,0.2
1,8ut2p9p6,0.2
1,i1qcanti,0.2
1,iq30z094,0.2
1,jvyq1b3l,0.2
1,60y9to0r,0.2
1,xd3zxx0c,0.2
1,cin2qol8,0.2
1,b6gte5u0,0.2
1,bglrptqj,0.2
1,zxtbnyho,0.1
1,b6l0qshz,0.1
1,64l96jwp,0.1
1,qbt142yj,0.1
1,xxt4g8gq,0.1
1,33zi29bg,0.1
1,wbawzbhz,0.1
1,64k42urk,0.1
1,ri7v2ka3,0.1
1,yu71iewp,0.1
1,yne3nu46,0.1
1,7cgqxt2m,0.1
1,nzxpo4sd,0.1
1,brsailag,0.1
1,4cniomio,0.1
1,kvuy06ln,0.1
1,uy90ulsy,0.1
1,3bozjfv7,0.1
1,6r7d5n3l,0.1
1,g42p98ku,0.1
1,u1xa44nw,0.1
1,vj4rvfte,0.1
1,c1r10fy6,0.1
1,zy5m8xc8,0.1
